[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
#Explored:   10,000, #Frontier:    2,987, #Generated:   12,987, Time: 0.992 s
[Used: 150.18 MB, Free: 109.82 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    5,745, #Generated:   25,745, Time: 1.530 s
[Used: 77.97 MB, Free: 234.03 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    8,077, #Generated:   38,077, Time: 1.940 s
[Used: 95.04 MB, Free: 216.96 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   10,734, #Generated:   50,734, Time: 2.414 s
[Used: 139.65 MB, Free: 252.35 MB, Alloc: 392.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   13,045, #Generated:   63,045, Time: 2.838 s
[Used: 91.10 MB, Free: 300.90 MB, Alloc: 392.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   14,991, #Generated:   74,991, Time: 3.347 s
[Used: 248.73 MB, Free: 143.27 MB, Alloc: 392.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   18,116, #Generated:   88,116, Time: 4.330 s
[Used: 73.04 MB, Free: 570.96 MB, Alloc: 644.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   20,186, #Generated:  100,186, Time: 5.073 s
[Used: 142.04 MB, Free: 501.96 MB, Alloc: 644.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   22,996, #Generated:  112,996, Time: 5.706 s
[Used: 195.32 MB, Free: 448.68 MB, Alloc: 644.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   25,139, #Generated:  125,139, Time: 6.553 s
[Used: 253.43 MB, Free: 912.57 MB, Alloc: 1166.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   26,585, #Generated:  136,585, Time: 7.543 s
[Used: 645.43 MB, Free: 520.57 MB, Alloc: 1166.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   28,927, #Generated:  148,927, Time: 8.078 s
[Used: 375.43 MB, Free: 790.57 MB, Alloc: 1166.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   31,755, #Generated:  161,755, Time: 8.604 s
[Used: 130.43 MB, Free: 1035.57 MB, Alloc: 1166.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   32,945, #Generated:  172,945, Time: 9.158 s
[Used: 518.43 MB, Free: 647.57 MB, Alloc: 1166.00 MB, MaxAlloc: 8192.00 MB]
