[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
#Explored:   10,000, #Frontier:    3,216, #Generated:   13,216, Time: 1.253 s
[Used: 151.25 MB, Free: 108.75 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    6,195, #Generated:   26,195, Time: 1.689 s
[Used: 79.40 MB, Free: 180.60 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    8,656, #Generated:   38,656, Time: 2.089 s
[Used: 156.91 MB, Free: 103.09 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   11,724, #Generated:   51,724, Time: 2.644 s
[Used: 60.34 MB, Free: 251.66 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   14,479, #Generated:   64,479, Time: 3.643 s
[Used: 94.67 MB, Free: 319.33 MB, Alloc: 414.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   17,280, #Generated:   77,280, Time: 4.902 s
[Used: 250.30 MB, Free: 163.70 MB, Alloc: 414.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   20,387, #Generated:   90,387, Time: 6.429 s
[Used: 211.66 MB, Free: 202.34 MB, Alloc: 414.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   22,501, #Generated:  102,501, Time: 8.045 s
[Used: 386.76 MB, Free: 303.24 MB, Alloc: 690.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   25,392, #Generated:  115,392, Time: 9.200 s
[Used: 398.88 MB, Free: 291.12 MB, Alloc: 690.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   27,682, #Generated:  127,682, Time: 9.804 s
[Used: 402.88 MB, Free: 287.12 MB, Alloc: 690.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   29,556, #Generated:  139,556, Time: 10.461 s
[Used: 403.00 MB, Free: 287.00 MB, Alloc: 690.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   32,725, #Generated:  152,725, Time: 11.182 s
[Used: 422.52 MB, Free: 619.48 MB, Alloc: 1042.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   35,480, #Generated:  165,480, Time: 11.803 s
[Used: 278.52 MB, Free: 763.48 MB, Alloc: 1042.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   37,769, #Generated:  177,769, Time: 12.497 s
[Used: 156.52 MB, Free: 885.48 MB, Alloc: 1042.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   40,110, #Generated:  190,110, Time: 13.040 s
[Used: 608.52 MB, Free: 433.48 MB, Alloc: 1042.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   43,118, #Generated:  203,118, Time: 13.763 s
[Used: 462.15 MB, Free: 579.85 MB, Alloc: 1042.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   45,756, #Generated:  215,756, Time: 14.471 s
[Used: 293.17 MB, Free: 1228.83 MB, Alloc: 1522.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   47,822, #Generated:  227,822, Time: 15.308 s
[Used: 733.17 MB, Free: 788.83 MB, Alloc: 1522.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   48,696, #Generated:  238,696, Time: 16.181 s
