[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
#Explored:   10,000, #Frontier:    8,612, #Generated:   18,612, Time: 0.699 s
[Used: 19.44 MB, Free: 240.56 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   19,559, #Generated:   39,559, Time: 1.019 s
[Used: 36.54 MB, Free: 223.46 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   26,428, #Generated:   56,428, Time: 1.271 s
[Used: 45.95 MB, Free: 214.05 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   34,247, #Generated:   74,247, Time: 1.807 s
[Used: 52.08 MB, Free: 265.92 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   42,651, #Generated:   92,651, Time: 2.466 s
[Used: 58.05 MB, Free: 259.95 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   52,872, #Generated:  112,872, Time: 2.675 s
[Used: 95.05 MB, Free: 222.95 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   61,103, #Generated:  131,103, Time: 2.891 s
[Used: 94.72 MB, Free: 223.28 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   68,783, #Generated:  148,783, Time: 3.084 s
[Used: 83.30 MB, Free: 234.70 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   78,537, #Generated:  168,537, Time: 3.302 s
[Used: 119.30 MB, Free: 198.70 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   86,998, #Generated:  186,998, Time: 3.536 s
[Used: 156.30 MB, Free: 161.70 MB, Alloc: 318.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   96,009, #Generated:  206,009, Time: 3.917 s
[Used: 135.37 MB, Free: 350.63 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:  103,106, #Generated:  223,106, Time: 4.293 s
[Used: 171.37 MB, Free: 314.63 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  110,910, #Generated:  240,910, Time: 4.545 s
[Used: 144.58 MB, Free: 341.42 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  118,427, #Generated:  258,427, Time: 4.801 s
[Used: 178.58 MB, Free: 307.42 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  125,644, #Generated:  275,644, Time: 4.986 s
[Used: 212.58 MB, Free: 273.42 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  132,798, #Generated:  292,798, Time: 5.362 s
[Used: 177.71 MB, Free: 308.29 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:  139,762, #Generated:  309,762, Time: 5.550 s
[Used: 210.70 MB, Free: 275.30 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:  147,127, #Generated:  327,127, Time: 5.770 s
[Used: 245.71 MB, Free: 240.29 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:  154,160, #Generated:  344,160, Time: 6.270 s
[Used: 203.72 MB, Free: 282.28 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:  161,074, #Generated:  361,074, Time: 6.638 s
[Used: 242.72 MB, Free: 243.28 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:  168,276, #Generated:  378,276, Time: 6.871 s
[Used: 276.72 MB, Free: 209.28 MB, Alloc: 486.00 MB, MaxAlloc: 8192.00 MB]
