[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
#Explored:   10,000, #Frontier:    2,666, #Generated:   12,666, Time: 0.698 s
[Used: 37.41 MB, Free: 222.59 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    4,033, #Generated:   24,033, Time: 1.046 s
[Used: 54.36 MB, Free: 257.64 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    5,570, #Generated:   35,570, Time: 1.219 s
[Used: 80.10 MB, Free: 231.90 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:    7,300, #Generated:   47,300, Time: 1.401 s
[Used: 92.37 MB, Free: 219.63 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:    8,718, #Generated:   58,718, Time: 1.591 s
[Used: 85.44 MB, Free: 226.56 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   10,655, #Generated:   70,655, Time: 1.794 s
[Used: 162.44 MB, Free: 149.56 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   11,629, #Generated:   81,629, Time: 2.110 s
[Used: 139.73 MB, Free: 272.27 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   13,558, #Generated:   93,558, Time: 2.384 s
[Used: 218.73 MB, Free: 193.27 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   14,541, #Generated:  104,541, Time: 2.643 s
[Used: 169.02 MB, Free: 242.98 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   15,679, #Generated:  115,679, Time: 2.918 s
[Used: 249.02 MB, Free: 162.98 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   17,857, #Generated:  127,857, Time: 3.313 s
[Used: 190.70 MB, Free: 221.30 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   19,102, #Generated:  139,102, Time: 3.577 s
[Used: 269.70 MB, Free: 142.30 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   20,388, #Generated:  150,388, Time: 3.841 s
[Used: 211.72 MB, Free: 200.28 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   23,369, #Generated:  163,369, Time: 4.052 s
[Used: 294.72 MB, Free: 117.28 MB, Alloc: 412.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   25,066, #Generated:  175,066, Time: 4.371 s
[Used: 243.72 MB, Free: 580.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   26,800, #Generated:  186,800, Time: 4.639 s
[Used: 325.72 MB, Free: 498.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   27,869, #Generated:  197,869, Time: 4.886 s
[Used: 405.72 MB, Free: 418.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   29,424, #Generated:  209,424, Time: 5.124 s
[Used: 277.72 MB, Free: 546.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   31,630, #Generated:  221,630, Time: 5.361 s
[Used: 359.72 MB, Free: 464.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:   34,540, #Generated:  234,540, Time: 5.641 s
[Used: 446.72 MB, Free: 377.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:   36,281, #Generated:  246,281, Time: 5.930 s
[Used: 282.72 MB, Free: 541.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:   37,155, #Generated:  257,155, Time: 6.117 s
[Used: 362.72 MB, Free: 461.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:   38,748, #Generated:  268,748, Time: 6.308 s
[Used: 444.72 MB, Free: 379.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:   40,922, #Generated:  280,922, Time: 6.499 s
[Used: 528.72 MB, Free: 295.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:   45,285, #Generated:  295,285, Time: 6.864 s
[Used: 353.72 MB, Free: 470.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:   46,383, #Generated:  306,383, Time: 7.164 s
[Used: 435.72 MB, Free: 388.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:   48,038, #Generated:  318,038, Time: 7.458 s
[Used: 516.72 MB, Free: 307.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:   49,515, #Generated:  329,515, Time: 7.744 s
[Used: 600.72 MB, Free: 223.28 MB, Alloc: 824.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  290,000, #Frontier:   51,583, #Generated:  341,583, Time: 8.167 s
[Used: 422.72 MB, Free: 1225.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  300,000, #Frontier:   53,697, #Generated:  353,697, Time: 8.442 s
[Used: 509.72 MB, Free: 1138.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  310,000, #Frontier:   55,351, #Generated:  365,351, Time: 8.697 s
[Used: 594.72 MB, Free: 1053.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  320,000, #Frontier:   55,890, #Generated:  375,890, Time: 8.940 s
[Used: 675.72 MB, Free: 972.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:   57,300, #Generated:  387,300, Time: 9.249 s
[Used: 397.22 MB, Free: 1250.78 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   59,621, #Generated:  399,621, Time: 9.446 s
[Used: 483.22 MB, Free: 1164.78 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   62,341, #Generated:  412,341, Time: 9.642 s
[Used: 569.22 MB, Free: 1078.78 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   64,841, #Generated:  424,841, Time: 9.843 s
[Used: 656.22 MB, Free: 991.78 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   68,524, #Generated:  438,524, Time: 10.041 s
[Used: 746.22 MB, Free: 901.78 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   70,204, #Generated:  450,204, Time: 10.236 s
[Used: 829.22 MB, Free: 818.78 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   73,969, #Generated:  463,969, Time: 10.598 s
[Used: 498.72 MB, Free: 1149.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   75,084, #Generated:  475,084, Time: 10.843 s
[Used: 589.72 MB, Free: 1058.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   76,186, #Generated:  486,186, Time: 11.029 s
[Used: 674.72 MB, Free: 973.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   77,280, #Generated:  497,280, Time: 11.215 s
[Used: 758.72 MB, Free: 889.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   79,024, #Generated:  509,024, Time: 11.408 s
[Used: 844.72 MB, Free: 803.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   80,231, #Generated:  520,231, Time: 11.635 s
[Used: 930.72 MB, Free: 717.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   81,785, #Generated:  531,785, Time: 11.869 s
[Used: 1018.72 MB, Free: 629.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   84,922, #Generated:  544,922, Time: 12.226 s
[Used: 1107.72 MB, Free: 540.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   89,722, #Generated:  559,722, Time: 12.600 s
[Used: 1202.72 MB, Free: 445.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   94,441, #Generated:  574,441, Time: 13.101 s
[Used: 620.72 MB, Free: 1027.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   97,149, #Generated:  587,149, Time: 13.397 s
[Used: 710.72 MB, Free: 937.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:   98,549, #Generated:  598,549, Time: 13.708 s
[Used: 798.72 MB, Free: 849.28 MB, Alloc: 1648.00 MB, MaxAlloc: 8192.00 MB]
