[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
#Explored:   10,000, #Frontier:    3,276, #Generated:   13,276, Time: 0.504 s
[Used: 16.22 MB, Free: 243.78 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    6,971, #Generated:   26,971, Time: 0.925 s
[Used: 31.44 MB, Free: 228.56 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   11,990, #Generated:   41,990, Time: 1.116 s
[Used: 56.47 MB, Free: 255.53 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   16,144, #Generated:   56,144, Time: 1.211 s
[Used: 72.44 MB, Free: 239.56 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   20,132, #Generated:   70,132, Time: 1.417 s
[Used: 82.70 MB, Free: 229.30 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   23,972, #Generated:   83,972, Time: 1.494 s
[Used: 128.70 MB, Free: 183.30 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   28,519, #Generated:   98,519, Time: 1.603 s
[Used: 128.39 MB, Free: 183.61 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   33,073, #Generated:  113,073, Time: 1.733 s
[Used: 122.34 MB, Free: 353.66 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   37,433, #Generated:  127,433, Time: 1.883 s
[Used: 169.34 MB, Free: 306.66 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   41,436, #Generated:  141,436, Time: 2.094 s
[Used: 151.72 MB, Free: 324.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   45,826, #Generated:  155,826, Time: 2.219 s
[Used: 198.72 MB, Free: 277.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   50,600, #Generated:  170,600, Time: 2.360 s
[Used: 245.72 MB, Free: 230.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   56,126, #Generated:  186,126, Time: 2.539 s
[Used: 213.72 MB, Free: 262.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   60,605, #Generated:  200,605, Time: 2.647 s
[Used: 260.72 MB, Free: 215.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   66,556, #Generated:  216,556, Time: 2.780 s
[Used: 226.72 MB, Free: 249.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   70,784, #Generated:  230,784, Time: 2.869 s
[Used: 273.72 MB, Free: 202.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   74,574, #Generated:  244,574, Time: 2.965 s
[Used: 318.72 MB, Free: 157.28 MB, Alloc: 476.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   78,726, #Generated:  258,726, Time: 3.104 s
[Used: 290.72 MB, Free: 689.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   81,853, #Generated:  271,853, Time: 3.205 s
[Used: 335.72 MB, Free: 644.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:   85,943, #Generated:  285,943, Time: 3.334 s
[Used: 385.72 MB, Free: 594.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:   89,790, #Generated:  299,790, Time: 3.433 s
[Used: 431.72 MB, Free: 548.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:   92,996, #Generated:  312,996, Time: 3.548 s
[Used: 344.72 MB, Free: 635.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:   97,067, #Generated:  327,067, Time: 3.619 s
[Used: 390.72 MB, Free: 589.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:  100,608, #Generated:  340,608, Time: 3.690 s
[Used: 438.72 MB, Free: 541.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:  104,066, #Generated:  354,066, Time: 3.753 s
[Used: 483.72 MB, Free: 496.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:  107,747, #Generated:  367,747, Time: 3.916 s
[Used: 378.72 MB, Free: 601.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:  111,567, #Generated:  381,567, Time: 3.988 s
[Used: 424.72 MB, Free: 555.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:  115,133, #Generated:  395,133, Time: 4.055 s
[Used: 469.72 MB, Free: 510.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  290,000, #Frontier:  118,789, #Generated:  408,789, Time: 4.119 s
[Used: 514.72 MB, Free: 465.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  300,000, #Frontier:  122,394, #Generated:  422,394, Time: 4.184 s
[Used: 560.72 MB, Free: 419.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  310,000, #Frontier:  125,799, #Generated:  435,799, Time: 4.243 s
[Used: 605.72 MB, Free: 374.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  320,000, #Frontier:  129,663, #Generated:  449,663, Time: 4.386 s
[Used: 479.72 MB, Free: 500.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:  133,601, #Generated:  463,601, Time: 4.450 s
[Used: 525.72 MB, Free: 454.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  137,964, #Generated:  477,964, Time: 4.519 s
[Used: 572.72 MB, Free: 407.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  142,124, #Generated:  492,124, Time: 4.583 s
[Used: 619.72 MB, Free: 360.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  147,071, #Generated:  507,071, Time: 4.666 s
[Used: 666.72 MB, Free: 313.28 MB, Alloc: 980.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  151,693, #Generated:  521,693, Time: 4.837 s
[Used: 551.72 MB, Free: 1716.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  154,958, #Generated:  534,958, Time: 4.928 s
[Used: 596.72 MB, Free: 1671.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  158,111, #Generated:  548,111, Time: 5.024 s
[Used: 642.72 MB, Free: 1625.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  161,475, #Generated:  561,475, Time: 5.161 s
[Used: 693.72 MB, Free: 1574.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  165,500, #Generated:  575,500, Time: 5.254 s
[Used: 739.72 MB, Free: 1528.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  169,236, #Generated:  589,236, Time: 5.342 s
[Used: 785.72 MB, Free: 1482.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:  173,193, #Generated:  603,193, Time: 5.517 s
[Used: 630.72 MB, Free: 1637.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:  176,921, #Generated:  616,921, Time: 5.577 s
[Used: 676.72 MB, Free: 1591.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:  180,685, #Generated:  630,685, Time: 5.652 s
[Used: 722.72 MB, Free: 1545.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:  184,105, #Generated:  644,105, Time: 5.723 s
[Used: 768.72 MB, Free: 1499.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:  188,100, #Generated:  658,100, Time: 5.790 s
[Used: 814.72 MB, Free: 1453.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:  191,059, #Generated:  671,059, Time: 5.867 s
[Used: 858.72 MB, Free: 1409.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:  195,753, #Generated:  685,753, Time: 5.946 s
[Used: 906.72 MB, Free: 1361.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:  199,531, #Generated:  699,531, Time: 6.167 s
[Used: 723.72 MB, Free: 1544.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:  203,521, #Generated:  713,521, Time: 6.225 s
[Used: 769.72 MB, Free: 1498.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:  207,033, #Generated:  727,033, Time: 6.332 s
[Used: 815.72 MB, Free: 1452.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  210,929, #Generated:  740,929, Time: 6.436 s
[Used: 861.72 MB, Free: 1406.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  215,214, #Generated:  755,214, Time: 6.541 s
[Used: 908.72 MB, Free: 1359.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  218,695, #Generated:  768,695, Time: 6.644 s
[Used: 953.72 MB, Free: 1314.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  222,420, #Generated:  782,420, Time: 6.765 s
[Used: 999.72 MB, Free: 1268.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  227,155, #Generated:  797,155, Time: 6.993 s
[Used: 800.72 MB, Free: 1467.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  230,692, #Generated:  810,692, Time: 7.088 s
[Used: 845.72 MB, Free: 1422.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  233,868, #Generated:  823,868, Time: 7.185 s
[Used: 891.72 MB, Free: 1376.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  237,603, #Generated:  837,603, Time: 7.282 s
[Used: 937.72 MB, Free: 1330.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  240,577, #Generated:  850,577, Time: 7.371 s
[Used: 982.72 MB, Free: 1285.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:  244,357, #Generated:  864,357, Time: 7.473 s
[Used: 1028.72 MB, Free: 1239.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:  247,126, #Generated:  877,126, Time: 7.568 s
[Used: 1073.72 MB, Free: 1194.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:  250,279, #Generated:  890,279, Time: 7.669 s
[Used: 1118.72 MB, Free: 1149.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:  253,376, #Generated:  903,376, Time: 7.767 s
[Used: 1162.72 MB, Free: 1105.28 MB, Alloc: 2268.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:  257,966, #Generated:  917,966, Time: 8.006 s
[Used: 943.72 MB, Free: 3046.28 MB, Alloc: 3990.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:  262,577, #Generated:  932,577, Time: 8.105 s
[Used: 990.72 MB, Free: 2999.28 MB, Alloc: 3990.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:  266,317, #Generated:  946,317, Time: 8.199 s
[Used: 1036.72 MB, Free: 2953.28 MB, Alloc: 3990.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  269,747, #Generated:  959,747, Time: 8.293 s
[Used: 1082.72 MB, Free: 2907.28 MB, Alloc: 3990.00 MB, MaxAlloc: 8192.00 MB]
