[server][info] Running client on level: ../levels/SAfriendofBFS.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
#Explored:   10,000, #Frontier:   20,830, #Generated:   30,830, Time: 0.552 s
[Used: 28.55 MB, Free: 231.45 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   40,701, #Generated:   60,701, Time: 0.909 s
[Used: 42.64 MB, Free: 269.36 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   59,847, #Generated:   89,847, Time: 1.193 s
[Used: 72.24 MB, Free: 239.76 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   78,815, #Generated:  118,815, Time: 1.434 s
[Used: 90.51 MB, Free: 221.49 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   97,041, #Generated:  147,041, Time: 1.587 s
[Used: 104.72 MB, Free: 207.28 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:  115,962, #Generated:  175,962, Time: 1.816 s
[Used: 123.53 MB, Free: 456.47 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:  133,951, #Generated:  203,951, Time: 1.965 s
[Used: 172.53 MB, Free: 407.47 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:  152,906, #Generated:  232,906, Time: 2.114 s
[Used: 171.48 MB, Free: 408.52 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:  171,369, #Generated:  261,369, Time: 2.197 s
[Used: 220.48 MB, Free: 359.52 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:  189,674, #Generated:  289,674, Time: 2.368 s
[Used: 205.72 MB, Free: 374.28 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:  208,071, #Generated:  318,071, Time: 2.485 s
[Used: 259.72 MB, Free: 320.28 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:  225,996, #Generated:  345,996, Time: 2.655 s
[Used: 237.72 MB, Free: 342.28 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  243,384, #Generated:  373,384, Time: 2.744 s
[Used: 285.72 MB, Free: 294.28 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  261,796, #Generated:  401,796, Time: 2.835 s
[Used: 335.72 MB, Free: 244.28 MB, Alloc: 580.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  279,655, #Generated:  429,655, Time: 3.042 s
[Used: 305.72 MB, Free: 1340.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  298,286, #Generated:  458,286, Time: 3.187 s
[Used: 355.72 MB, Free: 1290.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:  317,011, #Generated:  487,011, Time: 3.379 s
[Used: 333.72 MB, Free: 1312.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:  334,467, #Generated:  514,467, Time: 3.484 s
[Used: 383.72 MB, Free: 1262.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:  352,339, #Generated:  542,339, Time: 3.617 s
[Used: 434.72 MB, Free: 1211.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:  369,071, #Generated:  569,071, Time: 3.849 s
[Used: 384.72 MB, Free: 1261.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:  385,947, #Generated:  595,947, Time: 3.961 s
[Used: 433.72 MB, Free: 1212.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:  403,075, #Generated:  623,075, Time: 4.130 s
[Used: 489.72 MB, Free: 1156.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:  419,677, #Generated:  649,677, Time: 4.445 s
[Used: 436.72 MB, Free: 1209.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:  436,248, #Generated:  676,248, Time: 4.596 s
[Used: 484.72 MB, Free: 1161.28 MB, Alloc: 1646.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:  452,254, #Generated:  702,254, Time: 4.763 s
