[server][info] Running client on level: ../levels/SAsoko2_64.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
#Explored:   10,000, #Frontier:    2,726, #Generated:   12,726, Time: 3.488 s
[Used: 153.72 MB, Free: 222.28 MB, Alloc: 376.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    4,088, #Generated:   24,088, Time: 5.849 s
[Used: 319.71 MB, Free: 178.29 MB, Alloc: 498.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    5,622, #Generated:   35,622, Time: 9.255 s
[Used: 428.72 MB, Free: 269.28 MB, Alloc: 698.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:    6,937, #Generated:   46,937, Time: 11.798 s
[Used: 535.72 MB, Free: 302.28 MB, Alloc: 838.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:    8,920, #Generated:   58,920, Time: 14.121 s
[Used: 687.72 MB, Free: 426.28 MB, Alloc: 1114.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:    9,876, #Generated:   69,876, Time: 16.899 s
[Used: 912.72 MB, Free: 291.28 MB, Alloc: 1204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   10,546, #Generated:   80,546, Time: 19.732 s
[Used: 946.72 MB, Free: 715.28 MB, Alloc: 1662.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   11,535, #Generated:   91,535, Time: 21.793 s
[Used: 1236.72 MB, Free: 425.28 MB, Alloc: 1662.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   12,409, #Generated:  102,409, Time: 23.942 s
[Used: 1280.72 MB, Free: 507.28 MB, Alloc: 1788.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   13,275, #Generated:  113,275, Time: 26.534 s
[Used: 1294.72 MB, Free: 739.28 MB, Alloc: 2034.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   15,354, #Generated:  125,354, Time: 28.698 s
[Used: 1348.72 MB, Free: 839.28 MB, Alloc: 2188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   15,745, #Generated:  135,745, Time: 30.894 s
[Used: 1632.72 MB, Free: 797.28 MB, Alloc: 2430.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   16,670, #Generated:  146,670, Time: 33.234 s
[Used: 1588.72 MB, Free: 1115.28 MB, Alloc: 2704.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   19,033, #Generated:  159,033, Time: 36.080 s
[Used: 1786.72 MB, Free: 917.28 MB, Alloc: 2704.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   18,142, #Generated:  168,142, Time: 38.832 s
[Used: 1980.72 MB, Free: 1023.28 MB, Alloc: 3004.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   20,181, #Generated:  180,181, Time: 42.084 s
[Used: 2112.72 MB, Free: 1221.28 MB, Alloc: 3334.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   20,159, #Generated:  190,159, Time: 44.301 s
[Used: 2254.72 MB, Free: 1079.28 MB, Alloc: 3334.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   21,417, #Generated:  201,417, Time: 46.765 s
[Used: 2326.72 MB, Free: 1417.28 MB, Alloc: 3744.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   21,783, #Generated:  211,783, Time: 49.180 s
[Used: 2413.72 MB, Free: 1330.28 MB, Alloc: 3744.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:   22,273, #Generated:  222,273, Time: 52.183 s
[Used: 2481.72 MB, Free: 1262.28 MB, Alloc: 3744.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:   23,927, #Generated:  233,927, Time: 54.554 s
[Used: 2532.72 MB, Free: 1621.28 MB, Alloc: 4154.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:   23,906, #Generated:  243,906, Time: 56.626 s
[Used: 3085.72 MB, Free: 1068.28 MB, Alloc: 4154.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:   24,862, #Generated:  254,862, Time: 58.983 s
[Used: 3036.72 MB, Free: 1633.28 MB, Alloc: 4670.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:   26,507, #Generated:  266,507, Time: 61.245 s
[Used: 3040.72 MB, Free: 1629.28 MB, Alloc: 4670.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:   25,986, #Generated:  275,986, Time: 63.349 s
[Used: 2914.72 MB, Free: 1755.28 MB, Alloc: 4670.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:   28,585, #Generated:  288,585, Time: 65.706 s
[Used: 3465.72 MB, Free: 1758.28 MB, Alloc: 5224.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:   28,512, #Generated:  298,512, Time: 67.941 s
[Used: 3393.72 MB, Free: 1830.28 MB, Alloc: 5224.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:   28,621, #Generated:  308,621, Time: 70.028 s
[Used: 3940.72 MB, Free: 1283.28 MB, Alloc: 5224.00 MB, MaxAlloc: 8192.00 MB]
