[server][info] Running client on level: ../levels/SAsoko2_64.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
#Explored:   10,000, #Frontier:    1,155, #Generated:   11,155, Time: 1.305 s
[Used: 177.14 MB, Free: 238.86 MB, Alloc: 416.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:      872, #Generated:   20,872, Time: 3.160 s
[Used: 312.72 MB, Free: 499.28 MB, Alloc: 812.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    1,680, #Generated:   31,680, Time: 5.332 s
[Used: 449.72 MB, Free: 362.28 MB, Alloc: 812.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:    1,240, #Generated:   41,240, Time: 6.776 s
[Used: 584.72 MB, Free: 843.28 MB, Alloc: 1428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:    1,343, #Generated:   51,343, Time: 8.071 s
[Used: 787.72 MB, Free: 640.28 MB, Alloc: 1428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:    1,831, #Generated:   61,831, Time: 9.200 s
[Used: 961.72 MB, Free: 466.28 MB, Alloc: 1428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:    3,237, #Generated:   73,237, Time: 10.173 s
[Used: 851.72 MB, Free: 1158.28 MB, Alloc: 2010.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:    4,233, #Generated:   84,233, Time: 11.270 s
[Used: 955.72 MB, Free: 1054.28 MB, Alloc: 2010.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:    5,023, #Generated:   95,023, Time: 12.095 s
[Used: 1047.72 MB, Free: 962.28 MB, Alloc: 2010.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:    6,564, #Generated:  106,564, Time: 12.987 s
[Used: 1188.72 MB, Free: 1069.28 MB, Alloc: 2258.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:    8,151, #Generated:  118,151, Time: 13.921 s
[Used: 1386.72 MB, Free: 871.28 MB, Alloc: 2258.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   12,096, #Generated:  132,096, Time: 15.035 s
[Used: 1586.72 MB, Free: 671.28 MB, Alloc: 2258.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   13,017, #Generated:  143,017, Time: 16.094 s
[Used: 1583.72 MB, Free: 1256.28 MB, Alloc: 2840.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   13,818, #Generated:  153,818, Time: 17.181 s
[Used: 1699.72 MB, Free: 1140.28 MB, Alloc: 2840.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   14,386, #Generated:  164,386, Time: 17.954 s
[Used: 1816.72 MB, Free: 1023.28 MB, Alloc: 2840.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   15,505, #Generated:  175,505, Time: 18.917 s
[Used: 1967.72 MB, Free: 1472.28 MB, Alloc: 3440.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   16,735, #Generated:  186,735, Time: 20.000 s
[Used: 1986.72 MB, Free: 1453.28 MB, Alloc: 3440.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   17,937, #Generated:  197,937, Time: 20.717 s
[Used: 2497.72 MB, Free: 942.28 MB, Alloc: 3440.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   19,003, #Generated:  209,003, Time: 21.574 s
[Used: 2522.72 MB, Free: 917.28 MB, Alloc: 3440.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:   19,421, #Generated:  219,421, Time: 22.686 s
[Used: 2579.72 MB, Free: 1664.28 MB, Alloc: 4244.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:   21,554, #Generated:  231,554, Time: 23.707 s
[Used: 2484.72 MB, Free: 1917.28 MB, Alloc: 4402.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:   22,052, #Generated:  242,052, Time: 24.465 s
[Used: 2993.72 MB, Free: 1408.28 MB, Alloc: 4402.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:   24,078, #Generated:  254,078, Time: 25.505 s
[Used: 2841.72 MB, Free: 1560.28 MB, Alloc: 4402.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:   24,067, #Generated:  264,067, Time: 26.832 s
[Used: 3348.72 MB, Free: 1905.28 MB, Alloc: 5254.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:   25,070, #Generated:  275,070, Time: 28.125 s
[Used: 3206.72 MB, Free: 2047.28 MB, Alloc: 5254.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:   26,500, #Generated:  286,500, Time: 29.256 s
[Used: 3715.72 MB, Free: 1538.28 MB, Alloc: 5254.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:   26,091, #Generated:  296,091, Time: 30.126 s
[Used: 3430.72 MB, Free: 1823.28 MB, Alloc: 5254.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:   26,991, #Generated:  306,991, Time: 30.885 s
[Used: 3940.72 MB, Free: 1313.28 MB, Alloc: 5254.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  290,000, #Frontier:   27,761, #Generated:  317,761, Time: 31.859 s
[Used: 3638.72 MB, Free: 1615.28 MB, Alloc: 5254.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  300,000, #Frontier:   27,039, #Generated:  327,039, Time: 32.973 s
[Used: 3398.72 MB, Free: 3029.28 MB, Alloc: 6428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  310,000, #Frontier:   27,047, #Generated:  337,047, Time: 33.973 s
[Used: 3907.72 MB, Free: 2520.28 MB, Alloc: 6428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  320,000, #Frontier:   25,727, #Generated:  345,727, Time: 35.007 s
[Used: 4416.72 MB, Free: 2011.28 MB, Alloc: 6428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:   26,359, #Generated:  356,359, Time: 35.834 s
[Used: 3900.72 MB, Free: 2527.28 MB, Alloc: 6428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   27,281, #Generated:  367,281, Time: 36.578 s
[Used: 4409.72 MB, Free: 2018.28 MB, Alloc: 6428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   28,184, #Generated:  378,184, Time: 37.426 s
[Used: 3913.72 MB, Free: 2514.28 MB, Alloc: 6428.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   28,145, #Generated:  388,145, Time: 38.236 s
