[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:    3,189, #Generated:   13,189, Time: 0.201 s
[Used: 20.69 MB, Free: 239.31 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    4,872, #Generated:   24,872, Time: 0.345 s
[Used: 47.69 MB, Free: 212.31 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    7,927, #Generated:   37,927, Time: 0.455 s
[Used: 24.94 MB, Free: 235.06 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   11,928, #Generated:   51,928, Time: 0.526 s
[Used: 34.16 MB, Free: 303.84 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   11,325, #Generated:   61,325, Time: 0.588 s
[Used: 58.80 MB, Free: 279.20 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   14,307, #Generated:   74,307, Time: 0.659 s
[Used: 61.90 MB, Free: 276.10 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   17,572, #Generated:   87,572, Time: 0.745 s
[Used: 55.77 MB, Free: 282.23 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   15,314, #Generated:   95,314, Time: 0.816 s
[Used: 79.77 MB, Free: 258.23 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   19,162, #Generated:  109,162, Time: 0.894 s
[Used: 106.77 MB, Free: 231.23 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   25,063, #Generated:  125,063, Time: 0.980 s
[Used: 91.72 MB, Free: 246.28 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   23,159, #Generated:  133,159, Time: 1.023 s
[Used: 115.72 MB, Free: 222.28 MB, Alloc: 338.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   21,252, #Generated:  141,252, Time: 1.103 s
[Used: 83.21 MB, Free: 554.79 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   24,479, #Generated:  154,479, Time: 1.172 s
[Used: 110.21 MB, Free: 527.79 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   31,853, #Generated:  171,853, Time: 1.247 s
[Used: 140.21 MB, Free: 497.79 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   34,080, #Generated:  184,080, Time: 1.317 s
[Used: 166.21 MB, Free: 471.79 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   32,156, #Generated:  192,156, Time: 1.410 s
[Used: 126.98 MB, Free: 511.02 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   30,158, #Generated:  200,158, Time: 1.451 s
[Used: 149.98 MB, Free: 488.02 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   29,282, #Generated:  209,282, Time: 1.496 s
[Used: 174.98 MB, Free: 463.02 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   35,596, #Generated:  225,596, Time: 1.570 s
[Used: 203.98 MB, Free: 434.02 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:   42,014, #Generated:  242,014, Time: 1.692 s
[Used: 158.63 MB, Free: 479.37 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:   46,563, #Generated:  256,563, Time: 1.761 s
[Used: 187.63 MB, Free: 450.37 MB, Alloc: 638.00 MB, MaxAlloc: 8192.00 MB]
