[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting depth-first search.
#Explored:   10,000, #Frontier:    7,136, #Generated:   17,136, Time: 0.234 s
[Used: 16.91 MB, Free: 243.09 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   15,568, #Generated:   35,568, Time: 0.408 s
[Used: 24.55 MB, Free: 235.45 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   24,712, #Generated:   54,712, Time: 0.595 s
[Used: 34.58 MB, Free: 277.42 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   33,865, #Generated:   73,865, Time: 0.849 s
[Used: 57.41 MB, Free: 254.59 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   41,420, #Generated:   91,420, Time: 1.097 s
[Used: 62.78 MB, Free: 249.22 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   48,756, #Generated:  108,756, Time: 1.258 s
[Used: 90.78 MB, Free: 221.22 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   56,184, #Generated:  126,184, Time: 1.435 s
[Used: 88.11 MB, Free: 223.89 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   63,645, #Generated:  143,645, Time: 1.552 s
[Used: 116.11 MB, Free: 195.89 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   70,983, #Generated:  160,983, Time: 1.756 s
[Used: 107.30 MB, Free: 516.70 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   77,832, #Generated:  177,832, Time: 1.973 s
[Used: 101.72 MB, Free: 522.28 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   87,195, #Generated:  197,195, Time: 2.080 s
[Used: 131.72 MB, Free: 492.28 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   93,472, #Generated:  213,472, Time: 2.173 s
[Used: 158.72 MB, Free: 465.28 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  100,860, #Generated:  230,860, Time: 2.396 s
[Used: 142.55 MB, Free: 481.45 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  107,794, #Generated:  247,794, Time: 2.487 s
[Used: 170.55 MB, Free: 453.45 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  113,619, #Generated:  263,619, Time: 2.640 s
[Used: 146.72 MB, Free: 477.28 MB, Alloc: 624.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  122,533, #Generated:  282,533, Time: 2.720 s
