[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:    2,539, #Generated:   12,539, Time: 0.256 s
[Used: 40.21 MB, Free: 219.79 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    4,012, #Generated:   24,012, Time: 0.429 s
[Used: 30.90 MB, Free: 229.10 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    5,549, #Generated:   35,549, Time: 0.559 s
[Used: 53.21 MB, Free: 258.79 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:    7,185, #Generated:   47,185, Time: 0.651 s
[Used: 64.72 MB, Free: 247.28 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:    8,703, #Generated:   58,703, Time: 0.732 s
[Used: 66.34 MB, Free: 245.66 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   10,575, #Generated:   70,575, Time: 0.787 s
[Used: 105.33 MB, Free: 206.67 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   11,629, #Generated:   81,629, Time: 0.868 s
[Used: 95.31 MB, Free: 216.69 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   13,551, #Generated:   93,551, Time: 0.935 s
[Used: 135.31 MB, Free: 176.69 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   14,390, #Generated:  104,390, Time: 1.063 s
[Used: 114.30 MB, Free: 405.70 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   16,056, #Generated:  116,056, Time: 1.157 s
[Used: 155.30 MB, Free: 364.70 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   17,813, #Generated:  127,813, Time: 1.242 s
[Used: 194.30 MB, Free: 325.70 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   18,840, #Generated:  138,840, Time: 1.331 s
[Used: 162.72 MB, Free: 357.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   20,210, #Generated:  150,210, Time: 1.382 s
[Used: 201.72 MB, Free: 318.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   22,358, #Generated:  162,358, Time: 1.448 s
[Used: 240.72 MB, Free: 279.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   25,141, #Generated:  175,141, Time: 1.557 s
[Used: 196.72 MB, Free: 323.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   26,341, #Generated:  186,341, Time: 1.615 s
[Used: 235.72 MB, Free: 284.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   27,477, #Generated:  197,477, Time: 1.668 s
[Used: 273.72 MB, Free: 246.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   29,567, #Generated:  209,567, Time: 1.775 s
[Used: 215.72 MB, Free: 304.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   31,864, #Generated:  221,864, Time: 1.833 s
[Used: 254.72 MB, Free: 265.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:   34,435, #Generated:  234,435, Time: 1.902 s
[Used: 298.72 MB, Free: 221.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:   36,448, #Generated:  246,448, Time: 1.962 s
[Used: 337.72 MB, Free: 182.28 MB, Alloc: 520.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:   37,800, #Generated:  257,800, Time: 2.079 s
[Used: 285.72 MB, Free: 1082.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:   39,083, #Generated:  269,083, Time: 2.168 s
[Used: 323.72 MB, Free: 1044.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:   41,647, #Generated:  281,647, Time: 2.267 s
[Used: 363.72 MB, Free: 1004.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:   43,807, #Generated:  293,807, Time: 2.367 s
[Used: 402.72 MB, Free: 965.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:   45,869, #Generated:  305,869, Time: 2.511 s
[Used: 312.72 MB, Free: 1055.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:   48,019, #Generated:  318,019, Time: 2.583 s
[Used: 351.72 MB, Free: 1016.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:   50,962, #Generated:  330,962, Time: 2.653 s
[Used: 395.72 MB, Free: 972.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  290,000, #Frontier:   52,429, #Generated:  342,429, Time: 2.723 s
[Used: 433.72 MB, Free: 934.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  300,000, #Frontier:   53,698, #Generated:  353,698, Time: 2.798 s
[Used: 471.72 MB, Free: 896.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  310,000, #Frontier:   54,815, #Generated:  364,815, Time: 2.874 s
[Used: 509.72 MB, Free: 858.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  320,000, #Frontier:   55,732, #Generated:  375,732, Time: 3.028 s
[Used: 383.72 MB, Free: 984.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:   59,019, #Generated:  389,019, Time: 3.095 s
[Used: 428.72 MB, Free: 939.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   61,381, #Generated:  401,381, Time: 3.164 s
[Used: 469.72 MB, Free: 898.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   63,805, #Generated:  413,805, Time: 3.242 s
[Used: 508.72 MB, Free: 859.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   65,930, #Generated:  425,930, Time: 3.312 s
[Used: 547.72 MB, Free: 820.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   68,069, #Generated:  438,069, Time: 3.380 s
[Used: 586.72 MB, Free: 781.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   70,151, #Generated:  450,151, Time: 3.445 s
[Used: 625.72 MB, Free: 742.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   73,591, #Generated:  463,591, Time: 3.615 s
[Used: 489.72 MB, Free: 878.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   75,356, #Generated:  475,356, Time: 3.728 s
[Used: 534.72 MB, Free: 833.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   76,780, #Generated:  486,780, Time: 3.800 s
[Used: 572.72 MB, Free: 795.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   78,057, #Generated:  498,057, Time: 3.874 s
[Used: 610.72 MB, Free: 757.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   79,308, #Generated:  509,308, Time: 3.970 s
[Used: 648.72 MB, Free: 719.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   80,465, #Generated:  520,465, Time: 4.063 s
[Used: 686.72 MB, Free: 681.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   81,920, #Generated:  531,920, Time: 4.158 s
[Used: 723.72 MB, Free: 644.28 MB, Alloc: 1368.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   85,604, #Generated:  545,604, Time: 4.395 s
[Used: 585.72 MB, Free: 3150.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   88,649, #Generated:  558,649, Time: 4.513 s
[Used: 629.72 MB, Free: 3106.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   91,453, #Generated:  571,453, Time: 4.615 s
[Used: 669.72 MB, Free: 3066.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   93,644, #Generated:  583,644, Time: 4.718 s
[Used: 707.72 MB, Free: 3028.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:   95,916, #Generated:  595,916, Time: 4.816 s
[Used: 747.72 MB, Free: 2988.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:   98,440, #Generated:  608,440, Time: 4.933 s
[Used: 789.72 MB, Free: 2946.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:  100,508, #Generated:  620,508, Time: 5.021 s
[Used: 828.72 MB, Free: 2907.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  103,412, #Generated:  633,412, Time: 5.207 s
[Used: 656.72 MB, Free: 3079.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  106,041, #Generated:  646,041, Time: 5.294 s
[Used: 702.72 MB, Free: 3033.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  109,314, #Generated:  659,314, Time: 5.382 s
[Used: 752.72 MB, Free: 2983.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  111,200, #Generated:  671,200, Time: 5.480 s
[Used: 792.72 MB, Free: 2943.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  112,635, #Generated:  682,635, Time: 5.587 s
[Used: 830.72 MB, Free: 2905.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  113,775, #Generated:  693,775, Time: 5.677 s
[Used: 868.72 MB, Free: 2867.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  115,170, #Generated:  705,170, Time: 5.757 s
[Used: 907.72 MB, Free: 2828.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  117,113, #Generated:  717,113, Time: 5.837 s
[Used: 945.72 MB, Free: 2790.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
