[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting depth-first search.
#Explored:   10,000, #Frontier:    4,972, #Generated:   14,972, Time: 0.437 s
[Used: 23.96 MB, Free: 102.04 MB, Alloc: 126.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    9,563, #Generated:   29,563, Time: 0.721 s
[Used: 50.84 MB, Free: 75.16 MB, Alloc: 126.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   14,618, #Generated:   44,618, Time: 0.843 s
[Used: 72.91 MB, Free: 151.09 MB, Alloc: 224.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   19,095, #Generated:   59,095, Time: 0.906 s
[Used: 87.10 MB, Free: 136.90 MB, Alloc: 224.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   23,561, #Generated:   73,561, Time: 1.008 s
[Used: 96.34 MB, Free: 127.66 MB, Alloc: 224.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   27,730, #Generated:   87,730, Time: 1.083 s
[Used: 100.61 MB, Free: 123.39 MB, Alloc: 224.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   33,150, #Generated:  103,150, Time: 1.156 s
[Used: 107.58 MB, Free: 340.42 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   37,408, #Generated:  117,408, Time: 1.229 s
[Used: 149.58 MB, Free: 298.42 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   41,925, #Generated:  131,925, Time: 1.308 s
[Used: 190.58 MB, Free: 257.42 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   46,764, #Generated:  146,764, Time: 1.395 s
[Used: 174.62 MB, Free: 273.38 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   51,244, #Generated:  161,244, Time: 1.458 s
[Used: 216.62 MB, Free: 231.38 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   55,820, #Generated:  175,820, Time: 1.558 s
[Used: 184.73 MB, Free: 263.27 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   60,943, #Generated:  190,943, Time: 1.610 s
[Used: 227.73 MB, Free: 220.27 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   65,211, #Generated:  205,211, Time: 1.664 s
[Used: 268.73 MB, Free: 179.27 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:   69,263, #Generated:  219,263, Time: 1.754 s
[Used: 240.73 MB, Free: 207.27 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:   73,981, #Generated:  233,981, Time: 1.814 s
[Used: 281.73 MB, Free: 166.27 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:   77,523, #Generated:  247,523, Time: 1.908 s
[Used: 260.73 MB, Free: 845.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:   81,971, #Generated:  261,971, Time: 1.985 s
[Used: 301.73 MB, Free: 804.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:   86,163, #Generated:  276,163, Time: 2.057 s
[Used: 342.73 MB, Free: 763.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
