[server][info] Running client on level: ../levels/SAsoko2_64.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:    2,470, #Generated:   12,470, Time: 0.988 s
[Used: 208.72 MB, Free: 239.28 MB, Alloc: 448.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:    4,024, #Generated:   24,024, Time: 1.805 s
[Used: 341.72 MB, Free: 554.28 MB, Alloc: 896.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:    5,432, #Generated:   35,432, Time: 2.621 s
[Used: 475.72 MB, Free: 420.28 MB, Alloc: 896.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:    6,710, #Generated:   46,710, Time: 3.426 s
[Used: 611.72 MB, Free: 1180.28 MB, Alloc: 1792.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:    7,980, #Generated:   57,980, Time: 4.359 s
[Used: 772.72 MB, Free: 1019.28 MB, Alloc: 1792.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:    9,048, #Generated:   69,048, Time: 5.171 s
[Used: 872.72 MB, Free: 919.28 MB, Alloc: 1792.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   10,103, #Generated:   80,103, Time: 5.949 s
[Used: 973.72 MB, Free: 818.28 MB, Alloc: 1792.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   11,141, #Generated:   91,141, Time: 6.794 s
[Used: 1104.72 MB, Free: 1967.28 MB, Alloc: 3072.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   12,186, #Generated:  102,186, Time: 7.761 s
[Used: 1614.72 MB, Free: 1457.28 MB, Alloc: 3072.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   13,233, #Generated:  113,233, Time: 8.611 s
[Used: 1549.72 MB, Free: 1522.28 MB, Alloc: 3072.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   14,048, #Generated:  124,048, Time: 9.517 s
[Used: 1389.72 MB, Free: 1682.28 MB, Alloc: 3072.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   15,046, #Generated:  135,046, Time: 10.258 s
[Used: 1897.72 MB, Free: 1174.28 MB, Alloc: 3072.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:   15,966, #Generated:  145,966, Time: 11.059 s
[Used: 1726.72 MB, Free: 1345.28 MB, Alloc: 3072.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:   16,886, #Generated:  156,886, Time: 11.782 s
