[server][info] Running client on level: ../levels/SAsoko3_08.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:   28,393, #Generated:   38,393, Time: 0.476 s
[Used: 38.22 MB, Free: 221.78 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   55,710, #Generated:   75,710, Time: 0.932 s
[Used: 65.56 MB, Free: 246.44 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   81,783, #Generated:  111,783, Time: 1.247 s
[Used: 102.45 MB, Free: 209.55 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:  106,071, #Generated:  146,071, Time: 1.526 s
[Used: 136.46 MB, Free: 175.54 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:  131,116, #Generated:  181,116, Time: 1.834 s
[Used: 159.28 MB, Free: 438.72 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:  154,528, #Generated:  214,528, Time: 2.200 s
[Used: 169.72 MB, Free: 428.28 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:  177,827, #Generated:  247,827, Time: 2.562 s
[Used: 234.72 MB, Free: 363.28 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:  202,395, #Generated:  282,395, Time: 3.082 s
[Used: 240.72 MB, Free: 357.28 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:  227,345, #Generated:  317,345, Time: 3.447 s
[Used: 307.72 MB, Free: 290.28 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:  252,972, #Generated:  352,972, Time: 3.857 s
[Used: 303.72 MB, Free: 294.28 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:  277,495, #Generated:  387,495, Time: 4.478 s
[Used: 368.72 MB, Free: 229.28 MB, Alloc: 598.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:  299,612, #Generated:  419,612, Time: 4.973 s
[Used: 350.72 MB, Free: 927.28 MB, Alloc: 1278.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  319,142, #Generated:  449,142, Time: 5.269 s
[Used: 412.72 MB, Free: 865.28 MB, Alloc: 1278.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  340,008, #Generated:  480,008, Time: 5.661 s
[Used: 367.72 MB, Free: 910.28 MB, Alloc: 1278.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  360,652, #Generated:  510,652, Time: 6.010 s
[Used: 430.72 MB, Free: 847.28 MB, Alloc: 1278.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  382,928, #Generated:  542,928, Time: 6.447 s
